Country,Population,YearlyChange,NetChange,Density,LandArea,Migrants,Fert,MedAge,UrbanPop,WorldShare,PopChange
Guinea,13191279,0.0283,361549,53,245720,-4000,4.7,18,39%,0.17%,2.83
Rwanda,13005303,0.0258,325268,525,24670,-9000,4.1,20,18%,0.17%,2.58
Benin,12175480,0.0273,322049,108,112760,-2000,4.9,19,48%,0.16%,2.73
Burundi,11948454,0.0312,360204,463,25680,2001,5.5,17,14%,0.15%,3.12
Tunisia,11839918,0.0106,123900,76,155360,-4000,2.2,33,70%,0.15%,1.06
Bolivia,11700207,0.0139,159921,11,1083300,-9504,2.8,26,69%,0.15%,1.39
Belgium,11598451,0.0044,50295,383,30280,48000,1.7,42,98%,0.15%,0.44
Haiti,11426356,0.0124,139451,414,27560,-35000,3,24,57%,0.15%,1.24
Cuba,11325391,-0.0006,-6867,106,106440,-14400,1.6,42,78%,0.15%,-0.06
South Sudan,11216250,0.0119,131612,18,610952,-174200,4.7,19,25%,0.14%,1.19
Dominican Republic,10866667,0.0101,108952,225,48320,-30000,2.4,28,85%,0.14%,1.01
Czech Republic (Czechia),10712481,0.0018,19772,139,77240,22011,1.6,43,74%,0.14%,0.18
Greece,10413936,-0.0048,-50401,81,128900,-16000,1.3,46,85%,0.13%,-0.48
Jordan,10220604,0.01,101440,115,88780,10220,2.8,24,91%,0.13%,1
Portugal,10191409,-0.0029,-29478,111,91590,-6000,1.3,46,66%,0.13%,-0.29
Azerbaijan,10154978,0.0091,91459,123,82658,1200,2.1,32,56%,0.13%,0.91
Sweden,10110233,0.0063,62886,25,410340,40000,1.9,41,88%,0.13%,0.63
Honduras,9931333,0.0163,158490,89,111890,-6800,2.5,24,57%,0.13%,1.63
United Arab Emirates,9910892,0.0123,119873,118,83600,40000,1.4,33,86%,0.13%,1.23
Hungary,9655983,-0.0025,-24328,107,90530,6000,1.5,43,72%,0.12%,-0.25
Tajikistan,9573310,0.0232,216627,68,139960,-20000,3.6,22,27%,0.12%,2.32
Belarus,9448772,-0.0003,-3088,47,202910,8730,1.7,40,79%,0.12%,-0.03
Austria,9015361,0.0057,51296,109,82409,65000,1.5,43,57%,0.12%,0.57
Papua New Guinea,8975531,0.0195,170915,20,452860,-800,3.6,22,13%,0.11%,1.95
Serbia,8731081,-0.004,-34864,100,87460,4000,1.5,42,56%,0.11%,-0.4
Israel,8678517,0.016,136158,400,21640,10000,3,30,93%,0.11%,1.6
Switzerland,8665615,0.0074,63257,219,39516,52000,1.5,43,74%,0.11%,0.74
Togo,8310934,0.0243,196358,152,54390,-2000,4.4,19,43%,0.11%,2.43
Sierra Leone,8004158,0.021,163768,111,72180,-4200,4.3,19,43%,0.10%,2.1
Hong Kong,7507523,0.0082,60827,7140,1050,29308,1.3,45,N.A.,0.10%,0.82
